,Action Vector,Energy Used
0,"[[0.38732338]
 [7.3438787 ]
 [9.894836  ]
 [5.7851033 ]
 [3.014575  ]
 [2.941731  ]
 [9.531347  ]
 [0.6612663 ]
 [3.759169  ]
 [2.5596752 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
1,"[[4.878714  ]
 [0.42173052]
 [9.11128   ]
 [7.365019  ]
 [8.326237  ]
 [9.056087  ]
 [2.4080663 ]
 [0.15658236]
 [5.756748  ]
 [1.1347442 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
2,"[[0.6620736 ]
 [4.104527  ]
 [0.38266373]
 [9.307836  ]
 [2.6514683 ]
 [1.2928705 ]
 [3.5379314 ]
 [0.694623  ]
 [0.4518304 ]
 [4.5816326 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
3,"[[1.1414135 ]
 [2.5902584 ]
 [0.32700586]
 [5.0285997 ]
 [6.2305384 ]
 [8.958473  ]
 [4.3285966 ]
 [0.47034168]
 [2.5335543 ]
 [2.0936112 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
4,"[[2.3598819]
 [9.294779 ]
 [9.012587 ]
 [6.696398 ]
 [2.5237644]
 [9.151775 ]
 [6.365193 ]
 [9.224252 ]
 [2.6617334]
 [4.940564 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
5,"[[4.788375 ]
 [0.317276 ]
 [9.846141 ]
 [5.6207676]
 [5.930105 ]
 [9.988168 ]
 [2.5632844]
 [7.332408 ]
 [6.703918 ]
 [6.486604 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
6,"[[5.0342884 ]
 [1.024847  ]
 [9.994018  ]
 [1.9127088 ]
 [4.084054  ]
 [9.851723  ]
 [4.129394  ]
 [1.4081154 ]
 [9.625386  ]
 [0.94740915]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
7,"[[6.9166355]
 [9.862274 ]
 [9.228315 ]
 [9.676842 ]
 [9.424047 ]
 [9.610933 ]
 [9.676406 ]
 [7.107383 ]
 [9.434214 ]
 [9.958515 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
8,"[[6.4746547]
 [9.657563 ]
 [9.069096 ]
 [8.135653 ]
 [5.9413   ]
 [8.513189 ]
 [9.896189 ]
 [7.031295 ]
 [9.869408 ]
 [9.796955 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
9,"[[9.541115 ]
 [8.972842 ]
 [5.6961136]
 [8.949244 ]
 [9.797558 ]
 [8.471206 ]
 [8.747659 ]
 [9.43837  ]
 [9.797727 ]
 [9.231344 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
10,"[[9.934572]
 [9.863026]
 [9.488593]
 [8.825595]
 [8.700335]
 [8.825233]
 [9.6801  ]
 [9.065599]
 [9.690193]
 [8.418383]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
