,Action Vector,Energy Used
11,"[[0.05663157]
 [0.02451706]
 [0.04548502]
 [0.13850498]
 [0.03867245]
 [0.342206  ]
 [0.03345299]
 [0.20489216]
 [0.04956818]
 [0.04779339]]","[ 95.         119.96519483 199.99648038 210.00039107 179.98865899
 250.01603384 365.         310.039498   220.00430176 139.97301621]"
12,"[[0.06020451]
 [0.1781702 ]
 [0.08670998]
 [0.20266438]
 [0.11485529]
 [0.0362606 ]
 [0.0929122 ]
 [0.88425636]
 [0.11821795]
 [2.4016514 ]]","[ 95.         122.2254904  200.22504959 209.97499449 180.72515979
 248.97477409 365.         307.47444348 219.72493939 141.7253802 ]"
13,"[[0.82165194]
 [0.13137722]
 [0.97557783]
 [1.1589155 ]
 [0.44701624]
 [0.36305523]
 [1.8048    ]
 [0.12897587]
 [0.28229666]
 [0.0824852 ]]","[ 95.         123.1825242  200.32182829 209.9642413  181.03700227
 248.53389334 365.         306.38837141 219.60665431 142.46735022]"
14,"[[0.34179306]
 [0.06558228]
 [0.13056135]
 [1.3661311 ]
 [1.2500188 ]
 [0.2402196 ]
 [0.9166107 ]
 [1.2436833 ]
 [3.3280602 ]
 [4.4952154 ]]","[ 95.         116.28129537 199.62395122 210.0417832  178.78828726
 251.71311112 365.         314.220103   220.45961518 137.11695934]"
15,"[[3.3309503 ]
 [4.3725085 ]
 [1.9963691 ]
 [1.1853454 ]
 [0.5314541 ]
 [1.9608874 ]
 [3.116116  ]
 [1.8907375 ]
 [0.46196365]
 [0.5403738 ]]","[ 95.         122.86740229 200.28996203 209.967782   180.93432209
 248.67906187 365.         306.74598167 219.64560196 142.22304223]"
16,"[[2.1937804]
 [2.4755216]
 [3.1877508]
 [3.2390363]
 [2.9869912]
 [3.3436093]
 [3.6757355]
 [3.1646593]
 [2.935842 ]
 [3.2607255]]","[ 95.         121.52817016 200.15453406 209.98282955 180.49794309
 249.2960115  365.         308.26578443 219.81112504 141.18476113]"
17,"[[3.0917666]
 [3.3708134]
 [3.239242 ]
 [2.711486 ]
 [4.031216 ]
 [3.2142868]
 [4.0909023]
 [3.6553993]
 [2.5467267]
 [4.040885 ]]","[ 95.         123.52151536 200.3561083  209.96043241 181.14746006
 248.37772888 365.         306.00367358 219.56475653 142.7301636 ]"
18,"[[2.3878107]
 [3.8957705]
 [3.802312 ]
 [3.7404408]
 [3.7725048]
 [4.900693 ]
 [4.5467486]
 [3.2011142]
 [4.0939765]
 [3.1647277]]","[ 95.         115.68653065 199.56380647 210.04846595 178.59448752
 251.98710386 365.         314.89506072 220.53312543 136.65584961]"
19,"[[4.872105 ]
 [4.6007   ]
 [3.07237  ]
 [3.39685  ]
 [3.7990854]
 [3.9651375]
 [3.8676515]
 [4.4085593]
 [4.787101 ]
 [3.6359658]]","[ 95.         123.72040814 200.37622105 209.95819766 181.21226782
 248.28610412 365.         305.7779638  219.54017427 142.88436137]"
20,"[[4.3813667]
 [4.4516487]
 [5.8006024]
 [4.429825 ]
 [4.222456 ]
 [4.387662 ]
 [4.655913 ]
 [4.5817046]
 [4.525884 ]
 [4.789087 ]]","[ 95.         123.48385841 200.35230029 209.96085552 181.13518982
 248.39507646 365.         306.04640787 219.56941076 142.70096888]"
21,"[[3.9799287]
 [4.6775928]
 [3.640011 ]
 [4.126914 ]
 [4.8984213]
 [2.8673391]
 [3.9679728]
 [4.7872586]
 [4.730075 ]
 [4.7619658]]","[ 95.         120.24520453 200.02479596 209.99724489 180.0798981
 249.88704061 365.         309.72173419 219.96969382 140.19010239]"
22,"[[4.3176737]
 [3.9883375]
 [3.565421 ]
 [3.8298225]
 [4.47478  ]
 [4.3133373]
 [3.063242 ]
 [5.393376 ]
 [3.7701018]
 [4.0485954]]","[ 95.         115.54565227 199.54956034 210.05004885 178.54858332
 252.05200289 365.         315.05493394 220.55053736 136.54662929]"
23,"[[3.2893786]
 [4.7731094]
 [3.9729376]
 [4.7064342]
 [4.1186404]
 [3.9261997]
 [3.7540202]
 [4.0041165]
 [4.9049582]
 [4.3436537]]","[ 95.         122.62739412 200.26569154 209.97047872 180.85611718
 248.78962743 365.         307.0183505  219.6752659  142.03696847]"
24,"[[3.2634997]
 [3.7378068]
 [3.831193 ]
 [3.4724827]
 [3.7933793]
 [4.6126256]
 [3.960006 ]
 [3.8140974]
 [3.1189895]
 [3.4789987]]","[ 95.         123.92162703 200.39656903 209.95593677 181.27783353
 248.19340777 365.         305.54961427 219.51530452 143.04036253]"
25,"[[3.4207337]
 [3.7065125]
 [5.079992 ]
 [4.375759 ]
 [4.317407 ]
 [4.990479 ]
 [5.080988 ]
 [5.5412087]
 [3.66925  ]
 [2.6164937]]","[ 95.         116.27384428 199.62319774 210.04186692 178.78585937
 251.71654365 365.         314.22855874 220.4605361  137.11118264]"
26,"[[4.7784123]
 [5.476918 ]
 [5.316194 ]
 [2.8339946]
 [5.4190803]
 [5.096593 ]
 [3.2032514]
 [3.0612736]
 [5.3247313]
 [5.1213765]]","[ 95.         116.06264937 199.60184095 210.04423989 178.71704305
 251.81383568 365.         314.46822937 220.48663884 136.94744726]"
27,"[[4.9962773]
 [5.2092643]
 [2.7100375]
 [3.7149584]
 [4.7412434]
 [5.3051085]
 [4.5697412]
 [5.3876524]
 [4.985634 ]
 [4.546338 ]]","[ 95.         124.0439784  200.40894164 209.95456204 181.31770083
 248.13704366 365.         305.41076608 219.50018244 143.13521921]"
28,"[[4.6203384]
 [4.6378174]
 [2.9256806]
 [4.7256136]
 [4.3002515]
 [3.9575953]
 [4.4158454]
 [4.7256002]
 [3.4740508]
 [5.4489446]]","[ 95.         116.4117378  199.63714202 210.04031755 178.83079097
 251.65301966 365.         314.07207283 220.44349308 137.21808886]"
29,"[[4.9486947]
 [3.8982058]
 [3.720085 ]
 [3.4483204]
 [4.702598 ]
 [3.7907033]
 [3.881547 ]
 [3.9062457]
 [3.299308 ]
 [3.5130262]]","[ 95.         124.04491902 200.40903676 209.95455147 181.31800732
 248.13661034 365.         305.40969863 219.50006619 143.13594846]"
