,Action Vector,Energy Used
0,"[[5.279471 ]
 [8.739694 ]
 [5.164925 ]
 [6.7847047]
 [6.677296 ]
 [8.383827 ]
 [9.740599 ]
 [9.250667 ]
 [7.8141365]
 [7.1432548]]","[ 95.         123.1602685  200.31957771 209.96449137 181.02975041
 248.54414597 365.         306.41362788 219.60940502 142.45009581]"
1,"[[8.818005 ]
 [8.997399 ]
 [7.1800723]
 [7.2822866]
 [8.683582 ]
 [9.755062 ]
 [5.881024 ]
 [5.330181 ]
 [6.416899 ]
 [5.3652945]]","[ 95.         116.78058431 199.67444111 210.03617321 178.95097691
 251.48310161 365.         313.65349421 220.39790531 137.50404851]"
2,"[[1.3242757]
 [9.98161  ]
 [8.527889 ]
 [5.7806854]
 [9.41358  ]
 [6.682639 ]
 [6.653856 ]
 [3.4677052]
 [4.6994777]
 [7.5315237]]","[ 95.         122.06015915 200.2083307  209.97685214 180.67128781
 249.05093792 365.         307.66206658 219.74537359 141.59720204]"
3,"[[9.660427 ]
 [4.842195 ]
 [6.5792093]
 [3.0832775]
 [8.686877 ]
 [1.7545674]
 [9.59506  ]
 [2.1314301]
 [4.8479257]
 [3.739912 ]]","[ 95.         117.25210019 199.72212249 210.03087528 179.10461692
 251.26588643 365.         313.11840316 220.33962807 137.86960576]"
4,"[[0.52129793]
 [5.9284368 ]
 [0.16985321]
 [0.83437395]
 [2.0421886 ]
 [5.7667894 ]
 [4.874111  ]
 [0.09370422]
 [0.01898861]
 [5.9627047 ]]","[ 95.         116.23225853 199.61899244 210.04233417 178.77230896
 251.73570113 365.         314.27575155 220.46567591 137.07894201]"
5,"[[3.8586411 ]
 [3.2320728 ]
 [5.2495403 ]
 [0.6654458 ]
 [1.3581469 ]
 [8.600209  ]
 [0.37298822]
 [4.085811  ]
 [0.3082819 ]
 [1.5130148 ]]","[ 95.         115.83599078 199.57892042 210.04678662 178.64318801
 251.91825144 365.         314.72544866 220.51465282 136.77172319]"
6,"[[0.10069799]
 [6.5293713 ]
 [0.07757235]
 [0.3527317 ]
 [0.34658432]
 [1.1004076 ]
 [0.35590363]
 [0.12863445]
 [1.7720058 ]
 [1.0063138 ]]","[ 95.         122.99447311 200.30281189 209.96635423 180.97572719
 248.62052362 365.         306.60177771 219.62989658 142.32155781]"
7,"[[0.07965946]
 [0.21490097]
 [7.1544933 ]
 [5.4461718 ]
 [4.8418455 ]
 [2.9799676 ]
 [0.06040955]
 [1.0892148 ]
 [0.7599058 ]
 [0.50622034]]","[ 95.         122.918477   200.29512689 209.96720812 180.95096441
 248.65553307 365.         306.68802049 219.63928936 142.26263947]"
8,"[[0.32043314]
 [0.28122282]
 [0.03334618]
 [0.05856419]
 [0.1662283 ]
 [0.09751511]
 [0.02375078]
 [0.5171914 ]
 [0.9840708 ]
 [0.15085745]]","[ 95.         122.28725862 200.23129582 209.97430046 180.74528652
 248.94631906 365.         307.40434696 219.71730511 141.77326792]"
9,"[[0.13973188]
 [0.11645269]
 [0.46617937]
 [0.21998644]
 [0.01761389]
 [0.03576183]
 [0.02074146]
 [0.05985165]
 [0.03620672]
 [0.02374506]]","[ 95.         121.81465997 200.18350494 209.97961056 180.5912937
 249.16403305 365.         307.94066677 219.77571618 141.40687122]"
10,"[[0.19119406]
 [0.03583527]
 [0.05685997]
 [0.01766682]
 [0.02229071]
 [0.01319647]
 [0.07507372]
 [0.01537895]
 [0.0197463 ]
 [0.02279329]]","[ 95.         117.63451221 199.76079337 210.02657851 179.22922308
 251.08971909 365.         312.68442997 220.29236366 138.1660825 ]"
