,Action Vector,Energy Used
19,"[[0.01574135]
 [0.04700089]
 [0.03206539]
 [0.18329668]
 [0.16771269]
 [0.02880669]
 [0.01096344]
 [0.05578375]
 [0.04784679]
 [0.25779295]]","[ 95.         123.78641676 200.38289608 209.95745599 181.23377625
 248.25569565 365.         305.70305514 219.53201591 142.93553659]"
20,"[[0.0254283 ]
 [0.11666489]
 [0.07908487]
 [0.08791113]
 [0.08787823]
 [0.03947449]
 [0.02508259]
 [0.11881924]
 [0.01767588]
 [0.02683067]]","[ 95.         117.89923895 199.78756349 210.02360406 179.31548235
 250.96776633 365.         312.38400974 220.25964462 138.37132008]"
21,"[[0.17466545]
 [0.02174091]
 [0.13538313]
 [0.01234722]
 [0.01277399]
 [0.01200104]
 [0.00394058]
 [0.0265336 ]
 [0.01510572]
 [0.04451942]]","[ 95.         116.08792724 199.60439714 210.04395587 178.72527966
 251.80219082 365.         314.43954325 220.48351461 136.96704471]"
22,"[[0.06386805]
 [0.02016973]
 [0.01380348]
 [0.72566605]
 [0.07232141]
 [0.23376131]
 [0.05424404]
 [0.02903557]
 [0.07818413]
 [0.18233252]]","[ 95.         120.89060277 200.09006095 209.98999323 180.29019641
 249.58972232 365.         308.98931595 219.8899255  140.69046732]"
23,"[[0.01187134]
 [0.08833885]
 [0.02850437]
 [0.08235073]
 [0.08744717]
 [0.08035326]
 [0.02305031]
 [0.20700693]
 [0.015275  ]
 [0.03932667]]","[ 95.         116.96561778 199.69315236 210.03409418 179.01126871
 251.39786147 365.         313.44351241 220.375036   137.64750142]"
24,"[[0.1322794 ]
 [0.11864471]
 [0.00326681]
 [0.04144287]
 [0.0830164 ]
 [0.08146429]
 [0.0474577 ]
 [0.2025218 ]
 [0.06635427]
 [1.1956933 ]]","[ 95.         121.40260237 200.1418362  209.98424042 180.45702774
 249.35385733 365.         308.4082827  219.82664465 141.08741083]"
25,"[[0.12779331]
 [0.16516161]
 [0.03482246]
 [1.0810373 ]
 [0.10720348]
 [0.81945753]
 [0.4363842 ]
 [4.7845163 ]
 [9.999139  ]
 [9.969069  ]]","[ 95.         120.37958584 200.03838508 209.99573499 180.12368527
 249.82513461 365.         309.56923405 219.9530849  140.29428565]"
26,"[[9.947344]
 [9.994743]
 [9.958045]
 [9.994354]
 [9.989221]
 [9.969774]
 [9.947613]
 [9.909372]
 [9.973602]
 [9.996141]]","[ 95.         120.49955313 200.05051661 209.99438704 180.16277574
 249.76986878 365.         309.43309139 219.93825748 140.387294  ]"
27,"[[9.989351 ]
 [9.975866 ]
 [9.994392 ]
 [9.998503 ]
 [9.991499 ]
 [9.9957485]
 [9.989414 ]
 [9.993231 ]
 [9.997183 ]
 [9.997074 ]]","[ 95.         123.97396687 200.40186182 209.95534869 181.29488808
 248.16929616 365.         305.49021738 219.50883556 143.0809406 ]"
28,"[[9.935438]
 [9.961168]
 [9.993707]
 [9.997276]
 [9.993284]
 [9.976237]
 [9.992193]
 [9.97084 ]
 [9.976934]
 [9.958082]]","[ 95.         121.93201033 200.19537183 209.97829202 180.62953145
 249.10997277 365.         307.8074939  219.76121221 141.4978507 ]"
29,"[[9.975285]
 [9.918939]
 [9.898041]
 [9.990414]
 [9.979851]
 [9.976275]
 [9.979887]
 [9.958176]
 [9.998007]
 [9.9794  ]]","[ 95.         122.65592351 200.26857653 209.97015816 180.86541328
 248.77648467 365.         306.98597444 219.67173979 142.05908677]"
