,Action Vector,Energy Used
13,"[[6.227113  ]
 [0.60578156]
 [9.606754  ]
 [9.313456  ]
 [4.588341  ]
 [0.40364027]
 [1.8760009 ]
 [6.9250636 ]
 [2.429975  ]
 [2.3470974 ]]","[ 95.         108.73832181 198.86117861 210.12653571 176.33046441
 255.18796411 365.         322.78010671 221.39189281 131.26903601]"
14,"[[0.61803293]
 [3.864453  ]
 [9.160178  ]
 [5.5270267 ]
 [0.19082642]
 [5.676191  ]
 [3.850302  ]
 [6.5076036 ]
 [5.841429  ]
 [5.1128793 ]]","[ 95.          95.         194.1378602  210.65134887 161.11088287
 276.70530352 365.         365.         227.16483753  95.05692821]"
15,"[[6.510905  ]
 [1.6092098 ]
 [8.070965  ]
 [8.995068  ]
 [0.07483149]
 [2.412785  ]
 [2.2678485 ]
 [6.767161  ]
 [0.9606738 ]
 [2.9340732 ]]","[ 95.          95.         195.84487647 210.46168039 166.61126861
 268.9288961  365.         356.62971967 225.07848432 108.1440529 ]"
16,"[[5.3257895 ]
 [2.538259  ]
 [3.5212588 ]
 [2.3320353 ]
 [7.5195093 ]
 [5.850257  ]
 [8.927245  ]
 [4.6448855 ]
 [0.3533783 ]
 [0.74717426]]","[ 95.         114.67191898 199.46120529 210.05986608 178.26388371
 252.45450923 365.         316.04647397 220.65852687 135.86924056]"
17,"[[1.8963754 ]
 [1.2461295 ]
 [8.011337  ]
 [1.0642817 ]
 [9.170801  ]
 [3.1202552 ]
 [0.20410109]
 [8.519405  ]
 [3.8146899 ]
 [4.660288  ]]","[ 95.          95.         196.84590944 210.35045451 169.8368193
 264.36863479 365.         345.3959052  223.85499958 115.81863902]"
18,"[[2.424759  ]
 [0.26104403]
 [1.9566071 ]
 [9.300271  ]
 [6.8308935 ]
 [3.7500494 ]
 [8.657432  ]
 [6.1296396 ]
 [4.412322  ]
 [6.2037544 ]]","[ 95.          99.63378131 197.94049474 210.22883392 173.36381638
 259.38219063 365.         333.11222571 222.5171731  124.21045967]"
19,"[[3.6972446 ]
 [0.21408749]
 [2.7355099 ]
 [4.2799077 ]
 [8.170165  ]
 [3.6685534 ]
 [3.6768107 ]
 [0.03511333]
 [5.800666  ]
 [3.6866999 ]]","[ 95.          95.         192.51033487 210.83218501 155.86663457
 284.11958561 365.         365.         229.15403516  95.        ]"
20,"[[6.106351  ]
 [4.979735  ]
 [8.164881  ]
 [1.3168492 ]
 [7.480788  ]
 [7.9153843 ]
 [0.20324278]
 [0.9416752 ]
 [8.873229  ]
 [1.1748085 ]]","[ 95.         113.26543845 199.31897692 210.07566923 177.8055923
 253.10243847 365.         317.64259232 220.83236154 134.77882307]"
21,"[[1.4063549 ]
 [7.4550905 ]
 [1.1438813 ]
 [3.5860507 ]
 [5.5872893 ]
 [8.751791  ]
 [8.041868  ]
 [0.96651936]
 [8.285527  ]
 [0.88793373]]","[ 95.          95.         192.85059564 210.79437826 156.9630304
 282.56950875 365.         365.         228.73816088  95.        ]"
22,"[[7.156604  ]
 [5.435303  ]
 [5.099763  ]
 [5.8791084 ]
 [2.0680487 ]
 [4.0281596 ]
 [0.30984592]
 [5.489281  ]
 [2.3901117 ]
 [2.8480794 ]]","[ 95.          95.         194.8137767  210.57624703 163.28883603
 273.62612837 365.         365.         226.33871737 100.2389547 ]"
23,"[[8.223808  ]
 [2.8963723 ]
 [6.011584  ]
 [7.0354624 ]
 [0.09248829]
 [0.1575036 ]
 [9.038866  ]
 [3.3973641 ]
 [0.4802618 ]
 [6.729018  ]]","[ 95.          95.         194.79369496 210.57847834 163.2241282
 273.71761185 365.         365.         226.36326172 100.08499469]"
24,"[[9.015018 ]
 [4.89904  ]
 [4.4669685]
 [9.367705 ]
 [6.8122587]
 [5.416351 ]
 [8.585381 ]
 [0.6244068]
 [2.892927 ]
 [8.909464 ]]","[ 95.          99.84567353 197.96192204 210.22645311 173.43285991
 259.28457736 365.         332.87176375 222.49098417 124.37473566]"
25,"[[0.19939137]
 [1.3428643 ]
 [2.917276  ]
 [4.0847516 ]
 [6.2466016 ]
 [1.6939404 ]
 [6.151627  ]
 [5.905767  ]
 [1.2978334 ]
 [1.3873684 ]]","[ 95.          95.         196.73693258 210.36256305 169.48567165
 264.86508491 365.         346.6188677  223.98819351 114.98314979]"
26,"[[4.3906302 ]
 [3.4183521 ]
 [8.4088125 ]
 [8.24613   ]
 [9.546367  ]
 [8.4998    ]
 [5.576995  ]
 [3.2312922 ]
 [0.31738377]
 [4.859555  ]]","[ 95.          95.         194.20942409 210.64339732 161.34147762
 276.37929027 365.         365.         227.07737056  95.60558467]"
27,"[[1.1243722 ]
 [2.8587322 ]
 [8.695185  ]
 [9.621923  ]
 [0.35095263]
 [6.8745747 ]
 [2.4371946 ]
 [8.200596  ]
 [4.191157  ]
 [5.9908495 ]]","[ 95.          95.         193.74728178 210.69474647 159.85235242
 278.4846052  365.         365.         227.64221115  95.        ]"
28,"[[9.088797  ]
 [0.38533688]
 [3.895966  ]
 [3.6217484 ]
 [2.6614747 ]
 [7.864685  ]
 [3.079003  ]
 [1.8861771 ]
 [0.47233152]
 [6.6729774 ]]","[ 95.          95.         193.73949769 210.69561137 159.82727034
 278.52006607 365.         365.         227.65172504  95.        ]"
29,"[[9.152079  ]
 [9.683453  ]
 [0.4293499 ]
 [5.5121756 ]
 [7.989062  ]
 [1.1952579 ]
 [7.79428   ]
 [0.34392214]
 [6.9841166 ]
 [0.23227024]]","[ 95.         114.18717157 199.41218589 210.06531268 178.10593231
 252.67781984 365.         316.59658057 220.71843947 135.49342515]"
