,Action Vector,Energy Used
0,"[[5.6149797]
 [1.9738855]
 [6.064279 ]
 [3.86241  ]
 [7.1583004]
 [9.195612 ]
 [6.778971 ]
 [9.044511 ]
 [5.866431 ]
 [2.278787 ]]","[ 95.          95.         196.69383393 210.36735179 169.34679822
 265.06142321 365.         347.10253034 224.04086964 114.6527268 ]"
1,"[[8.119177 ]
 [5.113675 ]
 [5.582993 ]
 [2.3475478]
 [8.24368  ]
 [6.601389 ]
 [1.1805274]
 [5.423729 ]
 [3.892006 ]
 [9.492855 ]]","[ 95.         110.71780882 199.06135145 210.10429428 176.9754658
 254.2760656  365.         320.53372257 221.14723711 132.80369448]"
2,"[[1.4702353]
 [9.252512 ]
 [7.640657 ]
 [7.6594   ]
 [3.8589897]
 [5.56126  ]
 [8.182443 ]
 [8.567772 ]
 [8.574062 ]
 [1.2813468]]","[ 95.          95.         196.32114184 210.40876202 168.14590149
 266.75924272 365.         351.28496376 224.49638219 111.7954208 ]"
3,"[[8.864882 ]
 [6.0397177]
 [7.8555007]
 [8.540969 ]
 [3.3281775]
 [3.048293 ]
 [5.067615 ]
 [8.74009  ]
 [7.6256957]
 [5.275106 ]]","[ 95.          99.82376104 197.95970617 210.22669931 173.42571989
 259.29467188 365.         332.89663072 222.49369246 124.35774733]"
4,"[[5.8472257]
 [6.046315 ]
 [4.6363225]
 [4.7436295]
 [8.434808 ]
 [8.790576 ]
 [6.897239 ]
 [9.966047 ]
 [1.0640292]
 [9.6772175]]","[ 95.          95.         195.31173649 210.52091817 164.89337313
 271.35764489 365.         362.61273496 225.73009985 104.05664641]"
5,"[[2.8426692 ]
 [8.889601  ]
 [4.4667635 ]
 [9.957183  ]
 [9.120373  ]
 [2.919343  ]
 [0.47956133]
 [3.5535624 ]
 [8.344622  ]
 [5.483076  ]]","[ 95.          95.         192.92910478 210.78565502 157.2160043
 282.21185599 365.         365.         228.64220527  95.        ]"
6,"[[5.2455683]
 [9.808481 ]
 [2.0816162]
 [4.2475557]
 [6.722538 ]
 [8.520812 ]
 [9.229778 ]
 [9.290518 ]
 [9.98741  ]
 [7.735448 ]]","[ 95.          95.         195.6794409  210.48006212 166.07819846
 269.68254701 365.         358.48627433 225.28068334 106.87571358]"
7,"[[2.9306965 ]
 [6.4709744 ]
 [0.67884874]
 [7.9055905 ]
 [1.140348  ]
 [7.147945  ]
 [1.1217597 ]
 [5.356438  ]
 [4.0149717 ]
 [1.5452883 ]]","[ 95.          95.         193.13393202 210.76289644 157.87600316
 281.27875415 365.         365.         228.39186087  95.        ]"
8,"[[1.0330758]
 [5.559025 ]
 [3.3603847]
 [4.8236017]
 [6.684327 ]
 [9.075717 ]
 [3.5125766]
 [0.9277463]
 [5.236676 ]
 [9.500156 ]]","[ 95.          95.         196.48800066 210.39022215 168.6835577
 265.99910809 365.         349.41243699 224.29244363 113.07467176]"
9,"[[4.818627 ]
 [5.6197753]
 [5.898194 ]
 [4.8141804]
 [0.3045373]
 [1.5472505]
 [4.059576 ]
 [6.328313 ]
 [5.3831162]
 [4.4977684]]","[ 95.         109.10854905 198.89861732 210.12237585 176.45110025
 255.01740999 365.         322.35996119 221.34613439 131.55606612]"
10,"[[5.2255273]
 [9.161047 ]
 [8.281377 ]
 [1.9379852]
 [1.25108  ]
 [9.657351 ]
 [7.594941 ]
 [2.3640943]
 [3.484692 ]
 [6.0848446]]","[ 95.          95.         194.28263762 210.63526249 161.57738788
 276.04576196 365.         365.         226.98788735  96.16688841]"
11,"[[3.7277312]
 [9.666087 ]
 [8.028835 ]
 [4.515978 ]
 [4.7987685]
 [9.609655 ]
 [1.2144625]
 [9.686788 ]
 [4.764708 ]
 [9.213643 ]]","[ 95.          95.         197.08462393 210.32393067 170.60601044
 263.28115765 365.         342.71699811 223.56323742 117.64878347]"
12,"[[9.517338 ]
 [8.43358  ]
 [1.3907704]
 [9.13965  ]
 [3.558972 ]
 [9.944644 ]
 [1.2112927]
 [0.9371085]
 [6.2494726]
 [7.5248365]]","[ 95.          95.         196.71953299 210.36449633 169.42960629
 264.94434973 365.         346.81412981 224.00945968 114.8497529 ]"
