,Action Vector,Energy Used
16,"[[7.218774  ]
 [1.0524416 ]
 [9.922699  ]
 [9.961739  ]
 [4.466965  ]
 [0.09914303]
 [0.06865311]
 [3.276968  ]
 [9.490185  ]
 [9.928395  ]]","[ 95.         117.85761055 199.78335388 210.02407179 179.30191804
 250.98694345 365.         312.43125095 220.26478971 138.33904638]"
17,"[[1.3582757 ]
 [6.079069  ]
 [6.92379   ]
 [0.8999038 ]
 [3.222591  ]
 [2.2668524 ]
 [6.381275  ]
 [8.972308  ]
 [0.09568024]
 [8.0474615 ]]","[ 95.         118.16730054 199.81467084 210.02059213 179.40282827
 250.84427728 365.         312.07980501 220.22651342 138.57914311]"
18,"[[3.420048  ]
 [5.340236  ]
 [9.57015   ]
 [0.8149948 ]
 [0.26770306]
 [7.3068495 ]
 [2.249157  ]
 [8.253801  ]
 [0.19104385]
 [0.07304239]]","[ 95.         115.80095764 199.57537774 210.04718025 178.63177272
 251.9343903  365.         314.76520537 220.51898276 136.74456267]"
19,"[[1.0507298 ]
 [0.61677265]
 [0.0285902 ]
 [4.069968  ]
 [0.46789742]
 [1.423876  ]
 [5.0120773 ]
 [3.2339396 ]
 [5.9107814 ]
 [1.2700806 ]]","[ 95.         118.79653683 199.87830148 210.01352206 179.60786032
 250.55440438 365.         311.36572786 220.14874264 139.06697799]"
20,"[[8.546944 ]
 [9.470121 ]
 [6.2092986]
 [8.650941 ]
 [2.3103788]
 [4.076325 ]
 [3.0976107]
 [8.912991 ]
 [8.931329 ]
 [1.2384522]]","[ 95.         115.52780584 199.54775565 210.05024937 178.54276819
 252.06022428 365.         315.07518663 220.5527431  136.53279329]"
21,"[[4.506755  ]
 [9.848015  ]
 [9.317776  ]
 [5.614969  ]
 [5.2623363 ]
 [0.929101  ]
 [8.639358  ]
 [8.775814  ]
 [8.430859  ]
 [0.15396452]]","[ 95.         122.59128109 200.26203966 209.97088448 180.84435002
 248.80626377 365.         307.05933269 219.6797293  142.00897074]"
22,"[[1.8541    ]
 [1.985297  ]
 [0.75211525]
 [2.9491801 ]
 [3.380085  ]
 [0.92656374]
 [1.3136253 ]
 [7.847734  ]
 [0.3561387 ]
 [9.8345    ]]","[ 95.         123.18333354 200.32191013 209.96423221 181.03726598
 248.53352051 365.         306.38745295 219.60655428 142.46797769]"
23,"[[6.4896817 ]
 [9.787325  ]
 [5.507788  ]
 [6.2269807 ]
 [9.449572  ]
 [5.7515073 ]
 [0.49251938]
 [1.730361  ]
 [7.966653  ]
 [8.735055  ]]","[ 95.         123.24371535 200.32801616 209.96355376 181.05694096
 248.50570417 365.         306.31892977 219.59909136 142.51479055]"
24,"[[8.737431  ]
 [7.123234  ]
 [0.84949446]
 [9.677011  ]
 [7.8425484 ]
 [0.6767454 ]
 [9.08979   ]
 [1.4750748 ]
 [9.859479  ]
 [8.2445345 ]]","[ 95.         123.97396687 200.40186182 209.95534869 181.29488808
 248.16929616 365.         305.49021738 219.50883556 143.0809406 ]"
25,"[[2.9849653 ]
 [8.844967  ]
 [0.34473658]
 [9.369347  ]
 [2.2774484 ]
 [0.05973148]
 [8.547328  ]
 [7.073819  ]
 [2.6765304 ]
 [0.6545081 ]]","[ 95.         118.34044866 199.8321802  210.01864664 179.45924731
 250.76451242 365.         311.88331108 220.20511309 138.71338154]"
26,"[[8.62717   ]
 [3.4603095 ]
 [1.4592483 ]
 [3.8470452 ]
 [6.215221  ]
 [0.94617033]
 [7.1791296 ]
 [3.3306508 ]
 [1.0815585 ]
 [0.29701185]]","[ 95.         119.91008454 199.99090743 210.00101029 179.97070171
 250.04142173 365.         310.10203889 220.01111315 139.93029026]"
27,"[[2.8053763]
 [1.9403639]
 [2.0758626]
 [5.742947 ]
 [8.984419 ]
 [2.031101 ]
 [4.870991 ]
 [4.527549 ]
 [4.3667855]
 [3.0827112]]","[ 95.         115.72993337 199.56819551 210.04797828 178.60862997
 251.96710935 365.         314.84580595 220.52776104 136.6894989 ]"
28,"[[5.345847  ]
 [0.80948544]
 [8.093155  ]
 [6.950516  ]
 [4.5701947 ]
 [0.7968874 ]
 [5.031441  ]
 [1.1149044 ]
 [2.7033777 ]
 [7.1332493 ]]","[ 95.         123.55527842 200.35952254 209.96005305 181.15846151
 248.36217511 365.         305.96535819 219.56058357 142.75633945]"
29,"[[0.13781595]
 [0.55886173]
 [9.513556  ]
 [7.559224  ]
 [3.4884443 ]
 [3.514189  ]
 [8.479136  ]
 [5.7302036 ]
 [6.691879  ]
 [7.390475  ]]","[ 95.         116.66338381 199.66258937 210.03749007 178.91278798
 251.53709285 365.         313.78649702 220.41239077 137.4131852 ]"
