,Action Vector,Energy Used
0,"[[0.12840366]
 [1.8133903 ]
 [4.808404  ]
 [8.557089  ]
 [0.23188972]
 [0.8011193 ]
 [6.7410746 ]
 [6.366899  ]
 [6.326674  ]
 [4.680972  ]]","[ 95.         118.29642038 199.8277279  210.01914134 179.44490102
 250.78479511 365.         311.93327575 220.21055478 138.67924726]"
1,"[[5.2420816 ]
 [2.2928462 ]
 [0.46112633]
 [7.5704784 ]
 [4.6223364 ]
 [0.03358746]
 [4.163469  ]
 [2.8614364 ]
 [6.390716  ]
 [6.91005   ]]","[ 95.         122.29515844 200.23209467 209.9742117  180.74786062
 248.94267982 365.         307.39538199 219.71632873 141.7793925 ]"
2,"[[6.4973106]
 [7.2156205]
 [7.7176104]
 [3.7098007]
 [9.431344 ]
 [0.8750353]
 [8.006715 ]
 [0.5938616]
 [3.3356428]
 [6.2724743]]","[ 95.         117.52166662 199.74938202 210.02784644 179.19245317
 251.14170414 365.         312.81249069 220.30631087 138.07859547]"
3,"[[5.5184627]
 [6.8908405]
 [9.782726 ]
 [7.667317 ]
 [8.342146 ]
 [7.2117825]
 [0.7126279]
 [3.5101907]
 [8.18013  ]
 [7.7778926]]","[ 95.         115.60291967 199.55535143 210.0494054  178.56724349
 252.02562128 365.         314.98994509 220.54345937 136.59102761]"
4,"[[3.49133   ]
 [2.5363474 ]
 [3.9673526 ]
 [8.598657  ]
 [0.43922615]
 [5.4650135 ]
 [0.10175943]
 [1.0454807 ]
 [3.3234718 ]
 [7.212716  ]]","[ 95.         117.07169463 199.70387923 210.03290231 179.04583308
 251.34899461 365.         313.32313306 220.36192538 137.72974078]"
5,"[[6.066684 ]
 [0.9433613]
 [1.9033809]
 [7.260314 ]
 [7.217172 ]
 [9.318983 ]
 [3.4917774]
 [7.3440495]
 [1.0949805]
 [9.993311 ]]","[ 95.         117.43740056 199.74086073 210.02879325 179.16499569
 251.18052334 365.         312.90811847 220.31672577 138.0132656 ]"
6,"[[0.08512974]
 [9.945344  ]
 [0.2566185 ]
 [8.246286  ]
 [4.219757  ]
 [7.7182436 ]
 [8.484269  ]
 [3.9984045 ]
 [3.6901379 ]
 [3.8863468 ]]","[ 95.         116.79417756 199.67581571 210.03602048 178.95540617
 251.47683955 365.         313.63806816 220.39622525 137.5145871 ]"
7,"[[2.9504802 ]
 [0.63054466]
 [4.670109  ]
 [9.241061  ]
 [6.9616694 ]
 [0.87375975]
 [0.56762457]
 [4.7170806 ]
 [1.9701681 ]
 [7.1318755 ]]","[ 95.         115.93058616 199.58848624 210.04572375 178.67401122
 251.87467379 365.         314.61809885 220.50296126 136.84506118]"
8,"[[1.6296153 ]
 [0.584815  ]
 [4.3669863 ]
 [4.1228395 ]
 [0.34773064]
 [8.344777  ]
 [9.521559  ]
 [9.922104  ]
 [8.574581  ]
 [4.074555  ]]","[ 95.         116.20205    199.61593764 210.0426736  178.76246573
 251.74961742 365.         314.31003315 220.46940955 137.05552191]"
9,"[[9.422581  ]
 [7.5493903 ]
 [8.297327  ]
 [0.09788227]
 [0.09155035]
 [7.977537  ]
 [8.002489  ]
 [9.447512  ]
 [8.518356  ]
 [9.921593  ]]","[ 95.         116.2607554  199.62187414 210.04201398 178.78159446
 251.72257336 365.         314.24341241 220.46215383 137.10103508]"
10,"[[4.7608995 ]
 [3.712978  ]
 [8.220247  ]
 [8.445053  ]
 [9.672054  ]
 [4.3971896 ]
 [6.968003  ]
 [5.4801664 ]
 [0.23069334]
 [0.6352825 ]]","[ 95.         122.84157753 200.28735054 209.96807216 180.92590729
 248.69095867 365.         306.77528842 219.64879379 142.20302078]"
11,"[[0.3407097 ]
 [9.078749  ]
 [6.619834  ]
 [9.392589  ]
 [0.18998432]
 [9.912487  ]
 [9.826323  ]
 [7.088606  ]
 [9.469194  ]
 [0.01663017]]","[ 95.         116.47794787 199.64383742 210.03957362 178.85236504
 251.6225184  365.         313.99693557 220.43530981 137.26942026]"
12,"[[0.37621546]
 [8.528366  ]
 [4.0153346 ]
 [0.73517275]
 [1.1579549 ]
 [2.292109  ]
 [8.6605    ]
 [1.1169126 ]
 [9.923136  ]
 [0.4699278 ]]","[ 95.         115.56260924 199.55127509 210.04985832 178.55410863
 252.04419125 365.         315.03569064 220.54844155 136.5597757 ]"
13,"[[0.49045038]
 [7.087571  ]
 [2.5305095 ]
 [9.052879  ]
 [2.5826886 ]
 [9.429438  ]
 [6.677204  ]
 [3.5311475 ]
 [9.228022  ]
 [6.6397552 ]]","[ 95.         123.96914191 200.4013739  209.9554029  181.2933159
 248.1715189  365.         305.49569289 219.5094319  143.0771999 ]"
14,"[[3.4493325 ]
 [0.1411047 ]
 [0.44468212]
 [9.7908745 ]
 [1.7437136 ]
 [2.771167  ]
 [0.7661276 ]
 [8.356554  ]
 [5.394363  ]
 [8.795706  ]]","[ 95.         115.869043   199.58226278 210.04641525 178.65395783
 251.90302514 365.         314.68793997 220.51056772 136.79734794]"
15,"[[0.20019197]
 [8.571145  ]
 [8.875892  ]
 [8.770677  ]
 [0.8591566 ]
 [8.960537  ]
 [4.520084  ]
 [9.148363  ]
 [1.4716718 ]
 [0.64317894]]","[ 95.         119.54922628 199.95441614 210.00506487 179.85311868
 250.2076598  365.         310.51155219 220.05571361 139.65052375]"
