,Action Vector,Energy Used
0,"[[9.869331 ]
 [3.5419617]
 [0.1628766]
 [0.7828741]
 [2.664863 ]
 [3.2386162]
 [3.4584942]
 [9.159132 ]
 [2.6775806]
 [3.5220313]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
1,"[[4.08647   ]
 [6.5115047 ]
 [0.99213934]
 [0.64583874]
 [9.163261  ]
 [8.539293  ]
 [5.674758  ]
 [7.1894026 ]
 [0.8642144 ]
 [5.0916686 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
2,"[[5.7799144]
 [3.1493764]
 [6.8227944]
 [5.753337 ]
 [9.514811 ]
 [6.6356244]
 [3.126216 ]
 [7.2646704]
 [8.435866 ]
 [8.151453 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
3,"[[5.243615 ]
 [3.7299092]
 [2.335095 ]
 [5.4246855]
 [6.6497545]
 [1.6476462]
 [6.779613 ]
 [6.169156 ]
 [3.2761579]
 [9.088091 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
4,"[[8.723751  ]
 [2.3246198 ]
 [0.3859563 ]
 [1.2505608 ]
 [4.536608  ]
 [4.232027  ]
 [9.756083  ]
 [0.74591255]
 [1.7183521 ]
 [0.4677682 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
5,"[[4.4197836]
 [2.5197635]
 [7.347372 ]
 [9.676361 ]
 [2.8765373]
 [2.9732637]
 [2.1134238]
 [4.5203032]
 [3.5333548]
 [1.843045 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
6,"[[2.6995971]
 [0.6875143]
 [1.9722357]
 [7.539294 ]
 [7.645094 ]
 [5.929726 ]
 [5.3535147]
 [3.438331 ]
 [5.1456313]
 [1.6297305]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
7,"[[3.6749005]
 [5.790457 ]
 [4.3222623]
 [9.917982 ]
 [4.944666 ]
 [9.405463 ]
 [7.430234 ]
 [6.111744 ]
 [9.46211  ]
 [6.800014 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
8,"[[8.436861  ]
 [9.5622635 ]
 [9.317918  ]
 [0.6817732 ]
 [5.0072355 ]
 [0.40174532]
 [7.2813635 ]
 [8.023887  ]
 [1.543119  ]
 [3.4377844 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
9,"[[9.000539 ]
 [6.89818  ]
 [1.9045415]
 [1.2732697]
 [0.5989337]
 [7.031168 ]
 [9.694502 ]
 [8.692776 ]
 [4.84604  ]
 [7.188516 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
