,Action Vector,Energy Used
10,"[[2.59535  ]
 [1.3249512]
 [1.556773 ]
 [8.43429  ]
 [9.3413105]
 [9.735638 ]
 [8.140948 ]
 [8.882313 ]
 [4.3096476]
 [1.1992564]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
11,"[[3.7860632]
 [3.4818816]
 [5.0835605]
 [4.4982576]
 [3.0468183]
 [2.7917151]
 [3.91411  ]
 [7.318598 ]
 [8.454088 ]
 [5.0213223]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
12,"[[6.738068 ]
 [3.6229382]
 [2.1012473]
 [6.4762993]
 [8.682737 ]
 [7.1193833]
 [6.312072 ]
 [4.445467 ]
 [7.829323 ]
 [9.802435 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
13,"[[5.192601 ]
 [9.31212  ]
 [0.5464978]
 [4.474529 ]
 [3.7041302]
 [4.3639035]
 [8.020649 ]
 [5.409392 ]
 [5.9441504]
 [6.874213 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
14,"[[1.6778965]
 [5.69532  ]
 [8.315564 ]
 [3.31622  ]
 [3.0372794]
 [0.7522278]
 [3.4231658]
 [3.5282865]
 [3.7267196]
 [0.8599491]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
15,"[[4.0581827]
 [8.263795 ]
 [1.1133716]
 [1.6019154]
 [2.1328828]
 [4.2782335]
 [2.0676353]
 [2.6575952]
 [2.9469683]
 [1.4581351]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
16,"[[1.3848166 ]
 [5.962246  ]
 [6.334427  ]
 [0.41375303]
 [2.9692068 ]
 [3.9068341 ]
 [1.9346836 ]
 [8.725633  ]
 [2.4301007 ]
 [3.055368  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
17,"[[2.071548 ]
 [3.1327567]
 [6.6588473]
 [4.793772 ]
 [4.8371744]
 [6.5763226]
 [6.060632 ]
 [2.6200752]
 [1.802805 ]
 [5.170895 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
18,"[[3.176777 ]
 [6.8486834]
 [3.019342 ]
 [6.6388373]
 [0.6210842]
 [3.8603354]
 [4.949154 ]
 [4.932231 ]
 [5.4635673]
 [4.4211226]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
19,"[[2.9926589 ]
 [5.2275724 ]
 [0.29351044]
 [4.9233027 ]
 [9.213924  ]
 [0.30954218]
 [7.4968486 ]
 [4.5037665 ]
 [1.5741041 ]
 [2.2108955 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
20,"[[9.473215 ]
 [1.782851 ]
 [2.1402302]
 [0.8204274]
 [5.613142 ]
 [0.4616971]
 [3.4424963]
 [3.9388137]
 [0.6578474]
 [4.780709 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
21,"[[4.045765 ]
 [7.635476 ]
 [7.2178984]
 [3.746522 ]
 [2.8559794]
 [7.762639 ]
 [4.0879374]
 [2.2965667]
 [3.7346077]
 [9.032339 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
22,"[[4.655374  ]
 [2.8940926 ]
 [0.74113417]
 [2.5272005 ]
 [6.4911633 ]
 [5.430246  ]
 [9.359545  ]
 [1.1608293 ]
 [6.322658  ]
 [8.429377  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
23,"[[9.021406 ]
 [7.830705 ]
 [2.0139372]
 [6.2945375]
 [9.633957 ]
 [5.3732815]
 [3.0970523]
 [2.7168255]
 [8.231602 ]
 [0.8213992]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
24,"[[2.0899475]
 [4.113286 ]
 [3.6680853]
 [4.5943193]
 [5.6780124]
 [5.5102477]
 [7.3221035]
 [6.6837835]
 [4.850051 ]
 [9.368918 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
25,"[[8.41156  ]
 [4.526708 ]
 [2.6797845]
 [8.983817 ]
 [6.6926208]
 [1.104794 ]
 [2.1315267]
 [5.5302954]
 [4.1979785]
 [7.77242  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
26,"[[0.5417261]
 [9.597432 ]
 [7.371872 ]
 [1.9728432]
 [3.195851 ]
 [3.41326  ]
 [4.9180408]
 [4.091205 ]
 [0.8299842]
 [7.108655 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
27,"[[1.8129272]
 [4.3139935]
 [6.1913805]
 [1.748378 ]
 [8.176994 ]
 [2.1114066]
 [6.395348 ]
 [7.976965 ]
 [2.1210835]
 [4.388239 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
28,"[[5.9676642]
 [3.9393   ]
 [2.5341647]
 [2.24726  ]
 [5.214889 ]
 [7.410922 ]
 [3.1363347]
 [2.5185335]
 [1.210844 ]
 [2.4387524]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
29,"[[2.3873162]
 [9.038474 ]
 [5.921841 ]
 [8.031361 ]
 [3.3627892]
 [3.514022 ]
 [0.683012 ]
 [2.1788657]
 [2.4286401]
 [4.67067  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
