,Action Vector,Energy Used
19,"[[2.2387757 ]
 [1.0211077 ]
 [1.481184  ]
 [4.791481  ]
 [9.008628  ]
 [1.4550159 ]
 [0.96259403]
 [4.662635  ]
 [4.8362026 ]
 [3.2245812 ]]","[ 95.         106.93509039 198.67882937 210.14679674 175.74289462
 256.01866623 365.         324.82647046 221.61476411 129.87102513]"
20,"[[0.3117957]
 [9.736509 ]
 [2.4159808]
 [6.264441 ]
 [2.1271265]
 [8.968184 ]
 [7.355383 ]
 [9.553444 ]
 [3.0811398]
 [0.511549 ]]","[ 95.         108.66470863 198.85373458 210.12736282 176.30647809
 255.2218758  365.         322.86364526 221.40099107 131.21196512]"
21,"[[0.9670968 ]
 [6.566966  ]
 [0.49234676]
 [3.8869941 ]
 [9.332775  ]
 [2.4782786 ]
 [6.9296436 ]
 [9.454256  ]
 [5.253962  ]
 [1.7808986 ]]","[ 95.         107.59339104 198.74539909 210.1394001  175.95739708
 255.71540413 365.         324.07941017 221.53340111 130.38139305]"
22,"[[0.1681943 ]
 [9.427858  ]
 [9.196523  ]
 [3.982744  ]
 [3.44795   ]
 [8.025905  ]
 [3.8196707 ]
 [8.621702  ]
 [2.3592188 ]
 [0.75592613]]","[ 95.         106.68011361 198.6530452  210.14966164 175.6598123
 256.13612744 365.         325.11582613 221.64627809 129.6733465 ]"
23,"[[4.3293405]
 [7.4424453]
 [0.9627981]
 [9.46002  ]
 [5.8366117]
 [7.442501 ]
 [5.24331  ]
 [7.2135143]
 [4.786705 ]
 [5.7095017]]","[ 95.         107.60463024 198.74653564 210.13927382 175.96105929
 255.71022652 365.         324.06665557 221.53201199 130.39010659]"
24,"[[4.992132 ]
 [8.897232 ]
 [3.743565 ]
 [3.087036 ]
 [8.520382 ]
 [0.8051791]
 [4.7303185]
 [5.228772 ]
 [4.2862735]
 [1.4429874]]","[ 95.         108.35924182 198.82284468 210.13079504 176.20694396
 255.36259647 365.         323.21029861 221.43874539 130.97514253]"
25,"[[1.9588933 ]
 [0.25297356]
 [8.755131  ]
 [0.6255126 ]
 [8.63969   ]
 [9.45986   ]
 [5.771447  ]
 [9.396624  ]
 [4.0720778 ]
 [7.6671467 ]]","[ 95.         105.96962958 198.5811985  210.15764461 175.42830627
 256.46342907 365.         325.92210576 221.73409073 129.12252181]"
26,"[[0.27555752]
 [0.1035018 ]
 [1.7424524 ]
 [2.8634338 ]
 [7.218341  ]
 [2.8523343 ]
 [4.595781  ]
 [9.94106   ]
 [2.0267634 ]
 [3.3851848 ]]","[ 95.         111.5833061  199.14887365 210.09456959 177.25748176
 253.87735337 365.         319.55152903 221.04026554 133.47469799]"
27,"[[2.4030166]
 [9.707587 ]
 [4.777607 ]
 [1.9026592]
 [7.2355824]
 [6.284193 ]
 [8.604801 ]
 [5.3561044]
 [1.518681 ]
 [2.333507 ]]","[ 95.         105.84784162 198.56888286 210.15901302 175.38862255
 256.51953363 365.         326.06031456 221.74914317 129.02810193]"
28,"[[6.7103415]
 [8.509896 ]
 [7.271512 ]
 [4.2397304]
 [3.9187868]
 [3.9959207]
 [5.796524 ]
 [9.455032 ]
 [8.980766 ]
 [1.6937847]]","[ 95.         106.99724655 198.68511482 210.14609835 175.76314775
 255.99003249 365.         324.75593369 221.60708189 129.91921362]"
29,"[[0.36460495]
 [3.5498755 ]
 [8.254352  ]
 [2.6337135 ]
 [6.484244  ]
 [9.214792  ]
 [5.1084976 ]
 [7.1785717 ]
 [4.732274  ]
 [4.5497313 ]]","[ 95.         106.9362109  198.67894268 210.14678415 175.74325973
 256.01815003 365.         324.82519886 221.61462562 129.87189385]"
