,Action Vector,Energy Used
19,"[[1.6538644 ]
 [7.7464714 ]
 [0.9845004 ]
 [1.2056217 ]
 [9.041111  ]
 [1.577153  ]
 [9.511127  ]
 [4.8467436 ]
 [0.13467598]
 [4.1878247 ]]","[ 95.         123.84974172 200.38929972 209.95674448 181.25441022
 248.22652348 365.         305.63119198 219.52418923 142.98463122]"
20,"[[0.56375647]
 [1.5030909 ]
 [3.9898925 ]
 [8.780286  ]
 [0.7836032 ]
 [5.043686  ]
 [9.707933  ]
 [6.016103  ]
 [9.836696  ]
 [6.473386  ]]","[ 95.         117.29222577 199.72618013 210.03042443 179.11769154
 251.24740161 365.         313.07286739 220.33466873 137.90071436]"
21,"[[9.155305 ]
 [9.606245 ]
 [7.0965886]
 [9.090076 ]
 [6.494789 ]
 [6.642579 ]
 [7.9571137]
 [6.593728 ]
 [9.835405 ]
 [2.2000434]]","[ 95.         123.4896653  200.3528875  209.96079028 181.13708195
 248.39240138 365.         306.03981804 219.56869305 142.70547085]"
22,"[[8.282375 ]
 [2.7784092]
 [2.1429896]
 [7.592689 ]
 [9.814981 ]
 [9.147443 ]
 [0.7569556]
 [1.7833486]
 [7.831082 ]
 [8.92899  ]]","[ 95.         119.07739104 199.90670246 210.01036639 179.69937461
 250.42502211 365.         311.04700568 220.11403032 139.28471889]"
23,"[[0.43634367]
 [8.3283    ]
 [3.9206872 ]
 [2.9132113 ]
 [6.9224234 ]
 [5.27237   ]
 [3.8168929 ]
 [7.2001424 ]
 [4.829467  ]
 [9.017315  ]]","[ 95.         118.10861967 199.80873682 210.02125146 179.38370753
 250.87131004 365.         312.1463979  220.23376611 138.53364896]"
24,"[[9.352437 ]
 [4.8779798]
 [5.995703 ]
 [9.06991  ]
 [8.500156 ]
 [1.8179319]
 [6.092323 ]
 [0.5093889]
 [9.649871 ]
 [8.130177 ]]","[ 95.         115.67535047 199.56267589 210.04859157 178.59084454
 251.99225428 365.         314.90774834 220.53450724 136.64718183]"
25,"[[1.7772806 ]
 [5.876351  ]
 [1.8220296 ]
 [3.0330403 ]
 [7.2952313 ]
 [9.758825  ]
 [0.71387386]
 [3.8927279 ]
 [4.537886  ]
 [2.129656  ]]","[ 95.         115.67383828 199.56252297 210.04860856 178.5903518
 251.99295091 365.         314.90946443 220.53469415 136.64600945]"
26,"[[1.2330577 ]
 [0.31523514]
 [0.99345446]
 [1.5625033 ]
 [6.8837905 ]
 [0.9846468 ]
 [8.38839   ]
 [9.326216  ]
 [5.671781  ]
 [1.8823538 ]]","[ 95.         124.037726   200.40830937 209.95463229 181.31566353
 248.13992398 365.         305.41786151 219.50095521 143.13037184]"
27,"[[8.058253 ]
 [5.871637 ]
 [5.4339924]
 [9.9068775]
 [8.348745 ]
 [7.89074  ]
 [4.6421766]
 [3.2172072]
 [7.7060804]
 [4.887669 ]]","[ 95.         117.7923883  199.77675837 210.02480463 179.28066585
 251.01698966 365.         312.50526721 220.27285088 138.28848081]"
28,"[[8.047123 ]
 [8.548295 ]
 [3.4566362]
 [5.6042585]
 [2.471156 ]
 [9.585947 ]
 [9.595631 ]
 [3.4290082]
 [8.386179 ]
 [5.175489 ]]","[ 95.         123.53758455 200.35773327 209.96025186 181.15269609
 248.37032622 365.         305.98543776 219.56277045 142.74262173]"
29,"[[7.995063  ]
 [6.2223663 ]
 [3.503234  ]
 [7.4110427 ]
 [5.460544  ]
 [2.1427226 ]
 [8.402324  ]
 [3.218116  ]
 [4.2627506 ]
 [0.81147814]]","[ 95.         117.00285637 199.69691806 210.03367577 179.02340264
 251.38070661 365.         313.40125288 220.37043348 137.6763718 ]"
